name,address,phone,email,website,instagram,facebook,cuisine,city,whatsapp_link,email_draft
SUFI Dine-in & Cafe,Behind SAMCI RESTAURANT RAJBAGH SRINAGAR,7889351020,,,https://www.instagram.com/sufi_dinein_cafe/,,Cafe,Srinagar,https://wa.me/917889351020?text=Hi%20SUFI%20Dine-in%20%26%20Cafe%2C%0A%0AI%20noticed%20SUFI%20Dine-in%20%26%20Cafe%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Bollywood Curry Restaurant,Srinagar,01942483800,,,,,Fine Dining,Srinagar,https://wa.me/911942483800?text=Hi%20Bollywood%20Curry%20Restaurant%2C%0A%0AI%20noticed%20Bollywood%20Curry%20Restaurant%20%28Fine%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Cafe Tulip,Srinagar,01942483800,,,,,Cafe,Srinagar,https://wa.me/911942483800?text=Hi%20Cafe%20Tulip%2C%0A%0AI%20noticed%20Cafe%20Tulip%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Ahdoo's Restaurant,"Residency Road, Srinagar",01942472593,info@ahdoos.com,http://ahdoos.com/,,,Kashmiri Wazwan,Srinagar,https://wa.me/911942472593?text=Hi%20Ahdoo%27s%20Restaurant%2C%0A%0AI%20noticed%20Ahdoo%27s%20Restaurant%20%28Kashmiri%20Wazwan%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Ahdoo's Restaurant

Hi Ahdoo's Restaurant,

I noticed Ahdoo's Restaurant (Kashmiri Wazwan) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
Mughal Darbar,"Residency Road, Srinagar",01942475275,,,,,Kashmiri Wazwan,Srinagar,https://wa.me/911942475275?text=Hi%20Mughal%20Darbar%2C%0A%0AI%20noticed%20Mughal%20Darbar%20%28Kashmiri%20Wazwan%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Chai Jaai,"Dhanraj Mahal, Srinagar",01942482323,,,https://www.instagram.com/chaijaai/,,Tea Room,Srinagar,https://wa.me/911942482323?text=Hi%20Chai%20Jaai%2C%0A%0AI%20noticed%20Chai%20Jaai%20%28Tea%20Room%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Books & Bricks Cafe,"Gogji Bagh, Srinagar",01942313031,,,https://www.instagram.com/booksandbrickscafe/,,Cafe,Srinagar,https://wa.me/911942313031?text=Hi%20Books%20%26%20Bricks%20Cafe%2C%0A%0AI%20noticed%20Books%20%26%20Bricks%20Cafe%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
French Door Patisserie & Café,"Sector 7, Channi Himmat, Jammu",7889700844,,,https://www.instagram.com/frenchdoorpatisserie/,,Patisserie & Café,Jammu,https://wa.me/917889700844?text=Hi%20French%20Door%20Patisserie%20%26%20Caf%C3%A9%2C%0A%0AI%20noticed%20French%20Door%20Patisserie%20%26%20Caf%C3%A9%20%28Patisserie%20%26%20Caf%C3%A9%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Kaffberry,"Bahu Plaza, Jammu",8899003430,Nagpalmaval@gmail.com,,https://www.instagram.com/kaffberry_jammu/,,Cafe,Jammu,https://wa.me/918899003430?text=Hi%20Kaffberry%2C%0A%0AI%20noticed%20Kaffberry%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Kaffberry

Hi Kaffberry,

I noticed Kaffberry (Cafe) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
The Fifth Avenue,"Bahu Plaza, Jammu",9682114669,,,https://www.instagram.com/thefifthavenuejammu/,,Cafe,Jammu,https://wa.me/919682114669?text=Hi%20The%20Fifth%20Avenue%2C%0A%0AI%20noticed%20The%20Fifth%20Avenue%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
